YGD ORF id;number of orthologs;pombase orthologs
YDR264C;1;SPAC2F7.10
YDR300C;1;SPAC17H9.13c
YDR337W;1;SPBC11B10.04c
YDR347W;2;SPBC3H7.04, SPBC16A3.14
YDR359C;1;SPCC1795.08c
YDR364C;1;SPBC6B1.10
YDR377W;1;SPBC1604.11
YDR378C;1;SPAC2F3.17c
YDR382W;3;SPAC1071.08, SPBC23G7.15c, SPBP8B7.06
YDR404C;1;SPACUNK4.06c
YDR405W;1;SPAC31A2.08
YDR417C;0;NONE
YDR433W;0;NONE
YDR450W;2;SPCC1259.01c, SPBC16D10.11c
YDR470C;1;SPAC1B2.02c
YDR500C;2;SPAPB17E12.05, SPCC1223.05c
YDR518W;1;SPAC1F5.02
YDR526C;0;NONE
YDR531W;1;SPBC4B4.01c
YDR532C;0;NONE
YEL036C;1;SPBC1734.04
YEL044W;1;SPAC222.04c
YEL050C;1;SPCC16C4.15
YEL054C;2;SPCC31H12.04c, SPCC16C4.13c
YEL061C;1;SPAC25G10.07c
YER014C;0;NONE
YER020W;1;SPAC23H3.13c
YER037W;1;SPAC24B11.05
YER068W;1;SPAC16C9.04c
YER070W;1;SPAC1F7.05
YER087W;1;SPBC24C6.03
YER103W;2;SPCC1739.13, SPAC13G7.02c
YER111C;1;SPBC725.16
YER116C;1;SPBC3D6.11c
YER122C;1;SPAC22E12.17c
YER125W;3;SPBC16E9.11c, SPAC1805.15c, SPAC11G7.02
YER151C;1;SPBP8B7.21
YER154W;2;SPBP4H10.03, SPAC9G1.04
YER155C;0;NONE
YER167W;0;NONE
YFL001W;1;SPAC25B8.05
YFL039C;1;SPBC32H8.12c
YFR001W;1;SPAC1751.04
YFR004W;1;SPAC31G5.13
YFR019W;1;SPBC3E7.01
YFR036W;1;SPAC23C11.12
YFR052W;1;SPBC16G5.01
YGL003C;2;SPAC144.13c, SPBC1198.12
YGL016W;1;SPAC22G7.02
YGL030W;2;SPAC1250.05, SPAC9G1.03c
YGL033W;1;SPAC222.15
YGL047W;1;SPAC56E4.02c
YGL071W;0;NONE
YGL076C;2;SPAC3H5.07, SPBC18H10.12c
YGL078C;1;SPBC17D1.06
YGL097W;1;SPBC557.03c
YGL107C;0;NONE
YGL129C;1;SPBC29A3.15c
YGL135W;2;SPBC30D10.18c, SPCC1183.08c
YGL143C;1;SPAC2F7.17
YGL173C;1;SPAC17A5.14
YGL214W;0;NONE
YGL218W;0;NONE
YGL220W;1;SPAC8C9.11
YGL246C;1;SPAC19D5.06c
YGL253W;1;SPAC24H6.04
YGR006W;1;SPCC126.14
YGR036C;1;SPBC530.12c
YGR056W;1;SPBC4B4.03
YGR063C;1;SPBC21C3.16c
YGR064W;0;NONE
YGR078C;1;SPAC3H8.07c
YGR092W;2;SPAC24B11.11c, SPCC417.06c
YGR102C;0;NONE
YGR104C;1;SPAC5D6.05
YGR111W;0;NONE
YGR115C;0;NONE
YGR150C;1;SPBC19G7.07c
YGR160W;0;NONE
YGR165W;1;SPBC14C8.16c
YGR167W;1;SPBC9B6.08
YGR171C;1;SPAC27E2.06c
YGR180C;1;SPBC25D12.04
YGR214W;2;SPAPJ698.02c, SPBC685.06
YGR219W;0;NONE
YGR220C;1;SPAC644.17c
YGR262C;1;SPAP27G11.07c
YGR265W;0;NONE
YGR285C;1;SPBC1778.01c
YHL011C;1;SPCC1620.06c
YHR001W;5;SPCC23B6.01c, SPBC646.08c, SPBC354.07c, SPBP4H10.08, SPBC1271.12
YHR009C;2;SPAC6G10.06, SPAC1F5.03c
YHR011W;1;SPAC25B8.06c
YHR021C;1;SPBC1685.10
YHR034C;0;NONE
YHR064C;1;SPAC57A7.12
YHR066W;1;SPAC1B9.03c
YHR091C;1;SPBC25B2.09c
YHR143W;1;SPBC19C2.03
YHR147C;1;SPAC12G12.08
YHR158C;2;SPAC6G10.02c, SPCC1223.06
YHR205W;2;SPAC22E12.14c, SPAC1B9.02c
YIL004C;1;SPAC23C4.13
YIL009W;2;SPBP4H10.11c, SPBC18H10.02
YIL011W;0;NONE
YIL018W;3;SPBC839.04, SPBC2F12.07c, SPAC1F7.13c
YIL034C;1;SPAC631.01c
YIL040W;1;SPBC428.04
YIL047C;1;SPCC1827.07c
YIL054W;0;NONE
YIL110W;1;SPAC1071.05
YIL121W;0;NONE
YIL125W;1;SPBC3H7.03c
YIL133C;3;SPBC2G2.05, SPAC23A1.11, SPBC839.13c
YIL154C;0;NONE
YIR026C;1;SPBC17A3.06
YJL006C;1;SPBC530.13
YJL029C;1;SPAC3A12.15
YJL046W;1;SPBC17A3.09c
YJL063C;1;SPBC1271.13
YJL080C;1;SPCC550.14
YJL086C;0;NONE
YJL091C;1;SPAC144.10c
YJL127C;1;SPAC8C9.19
YJL136C;1;SPBC18E5.06
YJL140W;1;SPBC337.14
YJL180C;1;SPAC9.12c
YJL187C;2;SPCC18B5.03, SPBC660.14
YJL188C;0;NONE
YJL204C;1;SPCC18.04
YJL209W;0;NONE
YJR018W;0;NONE
YJR054W;0;NONE
YJR055W;1;SPAC4F10.19c
YJR059W;0;NONE
YJR074W;1;SPCC1840.01c
YJR075W;1;SPAC1006.05c
YJR113C;1;SPAC16E8.10c
YJR144W;1;SPBC30D10.08
YJR145C;3;SPAC959.07, SPBC21B10.10, SPBC19F8.08
YKL009W;1;SPBC11G11.03
YKL023W;0;NONE
YKL053W;0;NONE
YKL054C;1;SPBC354.10
YKL101W;2;SPAC57A10.02, SPAC644.06c
YKL109W;1;SPBC16E9.01c
YKL138C;2;SPCC16A11.11, SPCC417.02
YKL143W;1;SPAC3F10.17
YKL165C;1;SPBC839.08c
YKL169C;0;NONE
YKL170W;1;SPBC887.07
YKL180W;2;SPCC364.03, SPBC2F12.04
YKL204W;0;NONE
YKR006C;0;NONE
YKR020W;1;SPAC3G6.10c
YKR024C;1;SPBC21H7.04
YKR055W;1;SPAC16A10.04
YKR057W;1;SPBC18E5.06
YLL002W;1;SPBC342.06c
YLL006W;1;SPBC27B12.01c
YLL044W;0;NONE
YLL045C;1;SPBC29A3.04
YLR009W;1;SPAC22E12.13c
YLR029C;2;SPAC1783.08c, SPCC576.11
YLR032W;1;SPAC13G6.01c
YLR048W;2;SPAPJ698.02c, SPBC685.06
YLR068W;1;SPAC8C9.07
YLR069C;1;SPBC1306.01c
YLR074C;1;SPAC19B12.11c
YLR114C;1;SPAC23H3.14
YLR131C;1;SPAC6G10.12c
YLR148W;1;SPCC790.02
YLR181C;1;SPAC13F5.04c
YLR182W;1;SPBC336.12c
YLR184W;0;NONE
YLR185W;2;SPAPB17E12.05, SPCC1223.05c
YDL191W;1;SPCC613.05c
YLR200W;1;SPAC3A11.13
YLR204W;1;SPAC1782.04
YLR212C;1;SPBC32F12.04
YLR226W;1;SPBC32F12.06
YLR233C;1;SPBC2D10.13
YLR240W;1;SPAC458.05
YLR244C;1;SPBC3E7.10
YLR260W;1;SPAC4A8.07c
YLR264W;2;SPCC285.15c, SPAC25G10.06
YLR268W;1;SPBC2A9.08c
YLR288C;1;SPAC20G4.04c
YLR293C;1;SPBC1289.03c
YLR295C;1;SPBC29A3.10c
YLR312W;1;SPBC1539.01c
YLR318W;1;SPBC29A3.14c
YLR320W;1;SPAC6B12.02c
YLR322W;0;NONE
YLR337C;1;SPBC13E7.09
YLR338W;0;NONE
YLR357W;1;SPBC4B4.03
YLR358C;0;NONE
YLR382C;1;SPAC4G8.09
YLR386W;1;SPBC25H2.03
YLR399C;2;SPCC1450.02, SPAC631.02
YLR402W;0;NONE
YLR403W;1;SPAC16.05c
YLR418C;1;SPBC17G9.02c
YLR422W;0;NONE
YLR423C;1;SPAC10F6.11c
YLR452C;1;SPAC22F3.12c
YML014W;1;SPAC13D6.03c
YML061C;1;SPBC887.14c
YML063W;2;SPAC22H12.04c, SPAC13G6.02c
YML088W;1;SPBC1703.06
YML094W;1;SPBC215.02
YML112W;1;SPCC4B3.08
YML122C;0;NONE
YMR014W;1;SPAC4F10.06
YMR021C;2;SPCC584.02, SPAC31A2.11c
YMR024W;1;SPBC3B9.14c
YMR032W;2;SPBC11C11.02, SPAC20G8.05c
YMR060C;2;SPBC409.19c, SPAC589.04
YMR091C;1;SPCC1281.05
YMR097C;1;SPBC25B2.04c
YMR116C;1;SPAC6B12.15
YMR121C;2;SPAC1783.08c, SPCC576.11
YMR158W;1;SPCC736.10c
YMR198W;0;NONE
YMR216C;1;SPBC530.14c
YMR242C;2;SPAC26A3.04, SPAC3A12.10
YMR256C;1;SPBC2F12.17
YMR257C;0;NONE
YMR269W;1;SPAC1952.02
YMR275C;0;NONE
YMR282C;1;SPCC11E10.04
YMR284W;1;SPCC126.02c
YNL005C;1;SPAP19A11.05c
YNL055C;1;SPAC1635.01
YNL059C;1;SPBC365.10
YNL061W;1;SPBP8B7.20c
YNL064C;1;SPBC1734.11
YNL073W;1;SPCC18.08
YNL126W;1;SPBC428.20c
YNL138W;2;SPBC211.05, SPCC306.09c
YNL139C;1;SPAC1D4.14
YNL148C;1;SPAC13D6.05
YNL171C;0;NONE
YNL197C;2;SPCC16C4.07, SPCC320.07c
YNL213C;1;SPAC6B12.06c
YNL226W;0;NONE
YNL227C;1;SPAC6B12.08
YNL228W;0;NONE
YNL229C;2;SPCC965.07c, SPCC191.09c
YNL238W;1;SPAC22E12.09c
YNL243W;1;SPAC688.11
YNL248C;1;SPAC2F3.03c
YNL250W;1;SPAC1556.01c
YNL252C;1;SPCC126.05c
YNL255C;2;SPAC683.02c, SPAC13D6.02c
YNL284C;1;SPBC9B6.06
YNL298W;0;NONE
YNL302C;2;SPBC649.02, SPBC21C3.13
YNL315C;1;SPAC3A12.12
YNL324W;0;NONE
YNL325C;1;SPAC1093.03
YNR023W;1;SPAC23G3.10c
YNR052C;1;SPCC18.06c
YOL004W;3;SPBC1734.16c, SPAC23C11.15, SPBC12C2.10c
YOL009C;1;SPBC28F2.06c
YOL023W;1;SPBC1271.15c
YOL033W;1;SPAPB1A10.11c
YOL040C;2;SPAC1071.07c, SPCC1393.03
YOL051W;1;SPBC146.01
YOL076W;1;SPBC1215.02c
YOL081W;0;NONE
YOL086C;1;SPCC13B11.01
YOL115W;1;SPAC12G12.13c
YOL120C;2;SPAPB17E12.13, SPBC11C11.07
YOL144W;1;SPBP16F5.06
YOR014W;2;SPAC6F12.12, SPCC188.02
YOR026W;1;SPAC23H3.08c
YOR033C;1;SPBC29A10.05
YOR035C;1;SPCC613.04c
YOR065W;1;SPBC29A3.18
YOR073W;2;SPAC15A10.15, SPBP35G2.03c
YOR078W;1;SPBP8B7.10c
YOR080W;1;SPCC338.16
YOR083W;1;SPBC800.02
YOR117W;1;SPAC3A11.12c
YOR141C;1;SPAC664.02c
YOR150W;1;SPBC16G5.04
YOR187W;1;SPBC9B6.04c
YOR198C;1;SPAC458.02c
YOR200W;0;NONE
YOR206W;2;SPAC1B3.09c, SPAC1142.04
YOR241W;1;SPBC1709.17
YOR258W;1;SPCC18.09c
YOR259C;1;SPCC1682.16
YOR293W;2;SPBP22H7.08, SPAC31G5.17c
YOR295W;1;SPCC285.17
YOR309C;0;NONE
YOR310C;1;SPAC23G3.06
YOR330C;1;SPCC24B10.22
YOR341W;1;SPBC4C3.05c
YOR360C;0;NONE
YOR369C;2;SPBC1685.02c, SPCC962.04
YPL005W;0;NONE
YPL029W;1;SPAC637.11
YPL031C;1;SPCC16C4.11
YPL040C;1;SPCC18B5.08c
YPL042C;1;SPAC23H4.17c
YPL050C;1;SPAC4F10.10c
YPL055C;1;SPAC22F8.12c
YPL078C;1;SPBC1604.07
YPL079W;2;SPAC959.08, SPBC365.03c
YPL080C;0;NONE
YPL093W;1;SPBC651.01c
YPL104W;1;SPCC736.06
YPL129W;1;SPAC22H12.02
YPL131W;2;SPBC11C11.09c, SPAC3H5.12c
YPL142C;0;NONE
YPL148C;0;NONE
YPL161C;0;NONE
YPL169C;1;SPBC1921.03c
YPL172C;1;SPBC365.02c
YPL180W;1;SPCC162.12
YPL193W;1;SPBC16C6.03c
YPL235W;1;SPBC83.08
YPL254W;1;SPBC887.18c
YPL268W;1;SPAC22F8.11
YPR016C;1;SPCC1919.09
YPR043W;2;SPBC83.02c, SPBC800.04c
YPR044C;0;NONE
YPR045C;1;SPBC2A9.11c
YPR047W;1;SPCC736.03c
YPR067W;1;SPBC3B9.17
YPR087W;0;NONE
YPR099C;0;NONE
YPR100W;1;SPBC19C2.12
YPR108W;1;SPBC582.07c
YPR119W;2;SPAPB2B4.03, SPBC582.03
YPR135W;1;SPAPB1E7.02c
YPR139C;1;SPAC1783.02c
YPR141C;2;SPAC3A11.14c, SPAC664.10
YPR159W;2;SPAC23H3.11c, SPAC17G6.11c
YPR163C;1;SPBC18H10.04c
YIL119c;0;NONE
YLR120C;2;SPCC1795.09, SPAC26A3.01
YDR110w;0;NONE
YDR457w;0;NONE
YPR164W;1;SPAC3H8.05c
YOR209c;0;NONE
YJR094w;0;NONE
YOL068c;0;NONE
YPR111w;0;NONE
YGR260w;0;NONE
YOR025w;0;NONE
YDL042c;0;NONE
YMR035w;0;NONE
YGL163c;0;NONE
YDL056W;1;SPAC22F3.09c
YIL052C;2;SPCC1322.15, SPAC23A1.08c
YJL189W;1;SPCC663.04
YDL184C;2;SPAC3F10.18c, SPAC3G6.13c
YBR191W;2;SPAC959.08, SPBC365.03c
YLR325C;2;SPAC30D11.12, SPBC577.02
YOR312C;2;SPAC26A3.04, SPAC3A12.10
YGR148C;2;SPCC330.14c, SPAC6G9.09c
YKR094C;2;SPAC1805.12c, SPAC11G7.04
YDL133C;2;SPAC3F10.18c, SPAC3G6.13c
YJL191W;2;SPBC18H10.13, SPAC3H5.05c
YGL031C;2;SPCC330.14c, SPAC6G9.09c
YPL090C;2;SPAPB1E7.12, SPAC13G6.07c
YFL034C;2;SPAC11E3.15, SPCC970.04c
YNL067W;2;SPCC613.06, SPAC4G9.16c
YJL190C;2;SPAC5D6.01, SPAC22A12.04c
YDR447C;2;SPCC24B10.09, SPBC839.05c
YNL096C;1;SPAC18G6.14c
YLR287C;3;SPAC22E12.18, SPBC19G7.03c, SPAC19B12.04
YOR182C;2;SPBC19G7.03c, SPAC19B12.04
YLR441C;2;SPAC22H12.04c, SPAC13G6.02c
YBR189W;2;SPBC29A3.12, SPAC24H6.07
YOR096W;1;SPAC18G6.14c
YML024W;2;SPCC24B10.09, SPBC839.05c
YDR025W;2;SPAC144.11, SPAC31G5.03
YKL006W;1;SPAC1805.13
YOL121C;2;SPBC649.02, SPBC21C3.13
YGR027C;2;SPAC694.05c, SPBC3D6.15
YMR142C;1;SPAC664.05
YIL069C;2;SPBC17G9.07, SPAC17G6.06
