pombase ORF id;number of orthologs;human orthologs
SPAC22F8.11;13;PLCB2, PLCL1, PLCB4, PLCH2, PLCH1, PLCG2, PLCB1, PLCD1, PLCB3, PLCD4, PLCL2, PLCG1, PLCD3
SPAC22F8.12c;1;PPHLN1
SPAC22G7.02;1;IPO13
SPAC22H10.07;0;NONE
SPAC22H12.02;2;YEATS4, MLLT3
SPAC22H12.04c;1;RPS3A
SPAC23A1.08c;1;RPL34
SPAC23A1.11;1;RPL13A
SPAC23C11.12;1;CDC26
SPAC23C11.15;2;SIN3B, SIN3A
SPAC23C4.13;1;BET1
SPAC23C4.15;1;POLR2E
SPAC23C4.17;1;NSUN2
SPAC23G3.06;1;NOP58
SPAC23G3.10c;4;MDM4, SMARCD2, MDM2, SMARCD1
SPAC23H3.08c;1;BUB3
SPAC23H3.11c;0;NONE
SPAC23H3.13c;0;NONE
SPAC23H3.14;1;AVL9
SPAC23H4.17c;2;CDK19, CDK8
SPAC24B11.05;0;NONE
SPAC24B11.11c;2;STK38, STK38L
SPAC24H6.04;4;HK1, HK3, HK2, GCK
SPAC24H6.07;1;RPS9
SPAC25B8.05;1;PUS3
SPAC25B8.06c;1;SARS2
SPAC25G10.06;1;RPS28
SPAC25G10.07c;1;KIF11
SPAC26A3.01;0;NONE
SPAC26A3.04;1;RPL18A
SPAC26F1.06;4;PGAM2, PGAM4, PGAM1, BPGM
SPAC27E2.06c;1;MARS2
SPAC2C4.16c;1;RPS8
SPAC2F3.03c;1;POLR1E
SPAC2F3.04c;1;SSBP1
SPAC2F3.10;1;VPS54
SPAC2F3.17c;1;LSM6
SPAC2F7.08c;1;SMARCB1
SPAC2F7.10;2;ZDHHC17, ZDHHC13
SPAC2F7.17;2;MTRF1, MTRF1L
SPAC30D11.12;1;RPL38
SPAC31A2.08;1;MRPL23
SPAC31A2.11c;0;NONE
SPAC31A2.15c;1;DSCC1
SPAC31G5.03;1;RPS11
SPAC31G5.13;1;PSMD14
SPAC31G5.17c;1;RPS10
SPAC323.05c;1;N6AMT1
SPAC328.03;0;NONE
SPAC343.09;3;UBXN2A, NSFL1C, UBXN2B
SPAC3A11.12c;1;PSMC3
SPAC3A11.13;1;PFDN6
SPAC3A11.14c;1;KIFC1
SPAC3A12.10;1;RPL18A
SPAC3A12.12;1;ATPAF1
SPAC3A12.15;1;VPS53
SPAC3C7.14c;0;NONE
SPAC3F10.17;1;LTV1
SPAC3F10.18c;1;RPL41
SPAC3G6.10c;1;VPS51
SPAC3G6.13c;1;RPL41
SPAC3G9.03;1;RPL23
SPAC3H5.05c;1;RPS14
SPAC3H5.07;1;RPL7
SPAC3H5.12c;1;RPL5
SPAC3H8.05c;0;NONE
SPAC3H8.07c;1;VBP1
SPAC458.02c;0;NONE
SPAC458.05;1;PIK3C3
SPAC4A8.07c;2;SPHK2, SPHK1
SPAC4F10.06;1;SRFBP1
SPAC4F10.09c;1;CEBPZ
SPAC4F10.10c;0;NONE
SPAC4F10.19c;1;ZNHIT3
SPAC4G8.09;1;LARS2
SPAC4G9.03;1;AK2
SPAC4G9.16c;1;RPL9
SPAC4G9.17c;1;MRPS5
SPAC521.05;1;RPS8
SPAC56E4.02c;1;ALG13
SPAC56F8.03;1;EIF5B
SPAC56F8.09;1;RRP8
SPAC57A10.02;2;BRSK2, BRSK1
SPAC57A7.12;1;HSPA14
SPAC589.04;1;MTX1
SPAC5D6.01;1;RPS15A
SPAC5D6.05;1;MED18
SPAC5H10.11;0;NONE
SPAC5H10.13c;0;NONE
SPAC631.01c;1;CAPZB
SPAC631.02;2;BRD4, BRD3
SPAC637.06;0;NONE
SPAC637.11;1;SUPV3L1
SPAC644.06c;2;BRSK1, BRSK2
SPAC644.17c;1;MRPL3
SPAC664.02c;1;ACTR8
SPAC664.03;1;PAF1
SPAC664.04c;1;RPS16
SPAC664.05;1;RPL13
SPAC664.10;1;KIFC1
SPAC683.02c;1;ZCCHC9
SPAC688.11;2;HIP1R, HIP1
SPAC694.05c;1;RPS25
SPAC694.06c;1;CLSPN
SPAC6B12.02c;0;NONE
SPAC6B12.06c;1;NGRN
SPAC6B12.08;1;DNAJC21
SPAC6B12.15;1;GNB2L1
SPAC6F12.06;2;ARHGDIA, ARHGDIB
SPAC6F12.12;5;PPP2R5B, PPP2R5E, PPP2R5D, PPP2R5C, PPP2R5A
SPAC6F6.07c;1;RPS13
SPAC6G10.02c;1;RABEPK
SPAC6G10.06;0;NONE
SPAC6G10.12c;0;NONE
SPAC6G9.09c;1;RPL24
SPAC821.06;2;SEPT3, SEPT12
SPAC890.08;1;RPL31
SPAC8C9.07;1;CCDC59
SPAC8C9.11;2;BOLA2B, BOLA2
SPAC8C9.19;0;NONE
SPAC9.12c;1;ATPAF2
SPAC959.07;3;RPS4Y1, RPS4Y2, RPS4X
SPAC959.08;1;RPL21
SPAC9E9.10c;9;JRKL, CENPB, TIGD2, TIGD1, TIGD7, TIGD4, TIGD3, TIGD5, TIGD6
SPAC9G1.03c;1;RPL30
SPAC9G1.04;1;OXA1L
SPACUNK4.06c;1;POLR2G
SPAP19A11.05c;1;MRPL27
SPAP27G11.07c;1;TP53RK
SPAP8A3.09c;2;PPP2R1B, PPP2R1A
SPAPB17E12.05;1;RPL37
SPAPB17E12.13;1;RPL18
SPAPB1A10.11c;1;EARS2
SPAPB1E7.02c;1;WDHD1
SPAPB1E7.12;1;RPS6
SPAPB2B4.03;3;CCNB2, CCNB3, CCNB1
SPAPJ698.02c;1;RPSA
SPBC1105.04c;9;TIGD6, TIGD5, TIGD3, TIGD1, TIGD7, TIGD4, CENPB, TIGD2, JRKL
SPBC119.06;2;SCO2, SCO1
SPBC1198.10c;1;NARS2
SPBC1198.12;1;FZR1
SPBC11B10.04c;1;MRPS15
SPBC11B10.07c;2;TMEM30A, TMEM30B
SPBC11C11.02;2;PSTPIP1, PSTPIP2
SPBC11C11.05;0;NONE
SPBC11C11.07;1;RPL18
SPBC11C11.09c;1;RPL5
SPBC11G11.03;1;MRTO4
SPBC1215.02c;1;NAA25
SPBC1271.12;3;OSBPL10, OSBPL9, OSBPL11
SPBC1271.13;1;MRPL17
SPBC1271.15c;1;MTIF2
SPBC1289.03c;1;RAN
SPBC1289.13c;0;NONE
SPBC12C2.10c;2;SIN3A, SIN3B
SPBC12D12.04c;6;PRKCQ, PRKCE, PRKCB, PRKCA, PRKCD, PRKCH
SPBC1306.01c;1;GFM1
SPBC13E7.09;2;WIPF2, WIPF1
SPBC146.01;1;IVL
SPBC14C8.16c;0;NONE
SPBC14F5.12c;9;TIGD6, TIGD5, TIGD3, JRKL, TIGD2, CENPB, TIGD4, TIGD7, TIGD1
SPBC1539.01c;0;NONE
SPBC1604.05;1;GPI
SPBC1604.07;1;ATP5F1
SPBC1604.11;0;NONE
SPBC1685.02c;1;RPS12
SPBC1685.09;1;RPS29
SPBC1685.10;2;RPS27L, RPS27
SPBC1685.16;2;ATP6V0E2, ATP6V0E1
SPBC16A3.14;0;NONE
SPBC16A3.18;2;CSTF2, CSTF2T
SPBC16C6.03c;1;NUFIP1
SPBC16D10.11c;1;RPS18
SPBC16E9.01c;0;NONE
SPBC16E9.11c;2;NEDD4L, NEDD4
SPBC16G5.01;1;PSMD8
SPBC16G5.04;1;MRPL13
SPBC1703.03c;1;HEATR3
SPBC1703.06;3;FBXW2, FBXO24, FBXW7
SPBC1706.03;2;MFN2, MFN1
SPBC1709.17;1;FPGS
SPBC1711.18;0;NONE
SPBC1718.03;0;NONE
SPBC1734.04;0;NONE
SPBC1734.11;3;DNAJA1, DNAJA2, DNAJA4
SPBC1734.16c;1;SIN3A
SPBC1773.11c;2;TMEM30A, TMEM30B
SPBC1778.01c;1;DNAJC2
SPBC17A3.06;1;DUSP12
SPBC17A3.09c;1;LIPT1
SPBC17D1.03c;1;EXOSC8
SPBC17D1.06;2;DDX5, DDX17
SPBC17G9.02c;1;CDC73
SPBC17G9.07;1;RPS24
SPBC18E5.06;1;RPS21
SPBC18H10.02;2;ACSL3, ACSL4
SPBC18H10.04c;1;EIF4B
SPBC18H10.12c;1;RPL7
SPBC18H10.13;1;RPS14
SPBC18H10.14;1;RPS16
SPBC1921.03c;5;NXF2B, NXF2, NXF5, NXF1, NXF3
SPBC19C2.03;1;POLR2K
SPBC19C2.12;1;MRPL43
SPBC19F8.08;3;RPS4Y1, RPS4Y2, RPS4X
SPBC19G7.03c;1;FAU
SPBC19G7.07c;0;NONE
SPBC211.05;1;SF3B5
SPBC215.02;1;PFDN5
SPBC215.06c;1;LYAR
SPBC21B10.10;3;RPS4Y2, RPS4Y1, RPS4X
SPBC21C3.04c;1;MRPL34
SPBC21C3.13;1;RPS19
SPBC21C3.16c;1;SUPT4H1
SPBC21H7.03c;1;MINPP1
SPBC21H7.04;1;DDX31
SPBC23E6.05;1;PA2G4
SPBC23E6.09;3;KDM6B, UTY, KDM6A
SPBC23G7.15c;1;RPLP2
SPBC24C6.03;1;PARS2
SPBC24C6.11;1;BUD31
SPBC25B2.04c;2;RP11-108K14.8, MTG1
SPBC25B2.09c;1;RARS2
SPBC25D12.03c;1;MCM7
SPBC25D12.04;2;RRM2, RRM2B
SPBC25H2.03;1;VAC14
SPBC25H2.11c;1;SUPT7L
SPBC26H8.05c;1;PPP4C
SPBC27B12.01c;0;NONE
SPBC28F2.06c;0;NONE
SPBC29A10.05;1;EXO1
SPBC29A3.04;1;RPL7A
SPBC29A3.10c;0;NONE
SPBC29A3.12;1;RPS9
SPBC29A3.14c;1;TERT
SPBC29A3.15c;1;DAP3
SPBC29A3.18;1;CYC1
SPBC2A9.08c;2;SEC22A, SEC22C
SPBC2A9.11c;1;LENG8
SPBC2D10.10c;1;FBL
SPBC2D10.13;1;SMG6
SPBC2F12.04;1;RPL17
SPBC2F12.07c;1;RPL8
SPBC2F12.17;1;COX7A2L
SPBC2G2.01c;8;SLC17A8, SLC17A5, SLC17A7, SLC17A4, SLC17A6, SLC17A1, SLC17A2, SLC17A3
SPBC2G2.05;1;RPL13A
SPBC30D10.08;0;NONE
SPBC30D10.18c;1;RPL10A
SPBC32F12.04;2;TUBG1, TUBG2
SPBC32F12.06;3;FAM58A, CCNT2, CCNT1
SPBC32H8.11;0;NONE
SPBC32H8.12c;12;ACTL7B, ACTG1, ACTC1, ACTG2, ACTRT2, ACTA2, ACTA1, ACTBL2, POTEE, ACTRT1, ACTL7A, POTEF
SPBC336.12c;0;NONE
SPBC337.14;1;POLR2D
SPBC342.06c;0;NONE
SPBC354.07c;3;OSBPL9, OSBPL11, OSBPL10
SPBC354.10;0;NONE
SPBC365.02c;1;COX10
SPBC365.03c;1;RPL21
SPBC365.10;1;ACTR5
SPBC3B8.06;0;NONE
SPBC3B9.14c;1;MRPL44
SPBC3B9.17;1;ISCA2
SPBC3D6.11c;1;RNF4
SPBC3D6.15;1;RPS25
SPBC3E7.01;1;PIKFYVE
SPBC3E7.10;1;METAP1
SPBC3H7.03c;2;OGDH, OGDHL
SPBC3H7.04;0;NONE
SPBC4.07c;1;PSMC1
SPBC409.19c;1;MTX1
SPBC409.21;0;NONE
SPBC428.03c;1;MINPP1
SPBC428.04;0;NONE
SPBC428.16c;1;RHEB
SPBC428.20c;1;TUBGCP3
SPBC4B4.01c;1;PANK4
SPBC4B4.03;1;PBRM1
SPBC4C3.05c;1;POLR1A
SPBC4C3.12;0;NONE
SPBC530.10c;4;SLC25A6, SLC25A31, SLC25A4, SLC25A5
SPBC530.12c;1;PPT1
SPBC530.13;0;NONE
SPBC530.14c;3;SRPK2, SRPK1, SRPK3
SPBC557.03c;1;RCC1
SPBC56F2.02;1;RPL19
SPBC577.02;1;RPL38
SPBC582.03;3;CCNB2, CCNB1, CCNB3
SPBC582.07c;1;PSMD6
SPBC646.08c;3;OSBPL11, OSBPL9, OSBPL10
SPBC649.02;1;RPS19
SPBC651.01c;1;GTPBP4
SPBC660.14;1;PKMYT1
SPBC685.06;1;RPSA
SPBC6B1.10;1;CDC40
SPBC725.05c;2;ENPP4, ENPP3
SPBC725.09c;1;BIN3
SPBC725.16;0;NONE
SPBC800.02;0;NONE
SPBC800.04c;1;RPL37A
SPBC83.02c;1;RPL37A
SPBC83.08;1;RUVBL2
SPBC839.04;1;RPL8
SPBC839.05c;1;RPS17
SPBC839.08c;1;PIGN
SPBC839.13c;1;RPL13A
SPBC887.07;0;NONE
SPBC887.14c;1;PIF1
SPBC887.18c;1;TADA1
SPBC8D2.17;0;NONE
SPBC9B6.04c;1;TUFM
SPBC9B6.06;1;MRPL15
SPBC9B6.08;2;CLTB, CLTA
SPBP16F5.06;1;NOL8
SPBP22H7.08;1;RPS10
SPBP35G2.03c;1;SGOL1
SPBP4G3.02;1;MINPP1
SPBP4H10.03;1;OXA1L
SPBP4H10.08;0;NONE
SPBP4H10.11c;2;ACSL3, ACSL4
SPBP8B7.06;1;RPLP2
SPBP8B7.10c;0;NONE
SPBP8B7.20c;1;NOP2
SPBP8B7.21;1;USP10
SPCC1183.08c;1;RPL10A
SPCC11E10.04;0;NONE
SPCC1223.05c;1;RPL37
SPCC1223.06;1;RABEPK
SPCC1223.12c;0;NONE
SPCC1259.01c;1;RPS18
SPCC126.02c;1;XRCC6
SPCC126.05c;1;MRPL46
SPCC126.14;1;PRPF18
SPCC1281.05;0;NONE
SPCC1322.11;1;RPL23
SPCC1322.15;1;RPL34
SPCC1393.03;1;RPS15
SPCC13B11.01;0;NONE
SPCC1450.02;4;BRD2, BRD4, BRD3, BRDT
SPCC1450.05c;0;NONE
SPCC162.12;0;NONE
SPCC1620.06c;2;PRPS2, PRPS1
SPCC1682.14;1;RPL19
SPCC1682.16;1;PSMC6
SPCC16A11.11;0;NONE
SPCC16C4.07;0;NONE
SPCC16C4.11;1;CDK5
SPCC16C4.13c;1;RPL12
SPCC16C4.15;1;MRPL2
SPCC16C4.22;1;POLE4
SPCC1739.13;7;HSPA8, HSPA5, HSPA1A, HSPA1L, HSPA2, HSPA1B, HSPA6
SPCC1795.08c;0;NONE
SPCC1795.09;0;NONE
SPCC18.04;0;NONE
SPCC18.06c;2;CNOT8, CNOT7
SPCC18.08;1;KARS
SPCC18.09c;1;APTX
SPCC1827.07c;1;XPR1
SPCC1840.01c;1;RANGRF
SPCC188.02;5;PPP2R5B, PPP2R5E, PPP2R5C, PPP2R5A, PPP2R5D
SPCC18B5.03;2;WEE2, WEE1
SPCC18B5.08c;1;IARS2
SPCC191.09c;2;GSTT1, GSTT2
SPCC1919.09;1;EIF6
SPCC1919.15;1;RNF40
SPCC23B6.01c;2;OSBPL8, OSBPL5
SPCC24B10.09;1;RPS17
SPCC24B10.22;1;POLG
SPCC285.15c;1;RPS28
SPCC285.17;0;NONE
SPCC306.09c;2;CAP2, CAP1
SPCC31H12.04c;1;RPL12
SPCC31H12.08c;2;CNOT6, CNOT6L
SPCC320.07c;1;RBPMS
SPCC330.14c;1;RPL24
SPCC338.16;1;STIP1
SPCC364.03;1;RPL17
SPCC417.02;0;NONE
SPCC417.06c;2;STK38, STK38L
SPCC417.07c;2;CDK5RAP2, PDE4DIP
SPCC4B3.08;0;NONE
SPCC550.14;1;HDLBP
SPCC576.05;2;SAC3D1, MCM3AP
SPCC576.11;1;RPL15
SPCC584.02;0;NONE
SPCC613.04c;2;UNC45A, UNC45B
SPCC613.05c;1;RPL35
SPCC613.06;1;RPL9
SPCC645.09;1;MRPL54
SPCC663.04;2;RPL39, RPL39L
SPCC70.06;2;MCM3AP, SAC3D1
SPCC736.03c;1;FARS2
SPCC736.04c;0;NONE
SPCC736.06;1;DARS2
SPCC736.10c;0;NONE
SPCC790.02;1;VPS18
SPCC962.04;1;RPS12
SPCC965.07c;2;GSTT2, GSTT1
SPCC970.04c;4;MOB3C, MOB3A, MOB1A, MOB3B
SPCC970.10c;2;RNF40, RNF20
